miRNAnames,1001Trimmed_region_report,1422Trimmed_region_report,1423Trimmed_region_report,1424Trimmed_region_report,1425Trimmed_region_report,1426Trimmed_region_report,1427Trimmed_region_report
hsa-miR-224-3p,0,1,0,0,0,0,5
hsa-miR-224-5p,0,1,2,0,0,0,1
hsa-miR-2277-5p,0,0,0,0,1,0,0
hsa-miR-2278,0,0,0,0,0,0,1
hsa-miR-2355-3p,0,0,0,0,0,0,3
hsa-miR-2355-5p,0,0,0,0,0,0,3
hsa-miR-23a-3p,49,70,14,7,35,8,1474
hsa-miR-23a-5p,0,1,2,0,0,0,3
hsa-miR-23b-3p,3,3,1,0,2,2,103
hsa-miR-24-3p,6,49,5,5,16,6,980
hsa-miR-25-3p,8,108,31,57,63,16,151
hsa-miR-25-5p,0,0,0,0,0,1,0
hsa-miR-26a-1-3p,0,0,0,0,0,0,2
hsa-miR-26a-2-3p,0,0,0,0,0,0,2
hsa-miR-26a-5p,70,21,19,14,14,3,6271
hsa-miR-26b-3p,0,0,1,0,3,0,11
hsa-miR-26b-5p,25,25,11,4,10,3,344
hsa-miR-27a-3p,27,15,6,2,3,1,443
hsa-miR-27a-5p,0,0,0,0,0,0,3
hsa-miR-27b-3p,3,6,4,2,0,0,123
hsa-miR-27b-5p,0,2,0,0,0,0,0
hsa-miR-28-3p,0,2,0,1,4,0,177
hsa-miR-28-5p,0,5,1,0,2,0,159
hsa-miR-296-5p,2,1,0,0,0,0,1
hsa-miR-299-5p,0,0,0,0,0,0,10
hsa-miR-29a-3p,8,38,5,5,6,3,391
hsa-miR-29a-5p,0,0,0,0,0,0,2
hsa-miR-29b-2-5p,0,0,1,0,0,0,2
hsa-miR-29b-3p,8,30,5,6,11,0,602
hsa-miR-29c-3p,20,68,4,5,18,3,569
hsa-miR-29c-5p,0,16,0,3,8,0,33
hsa-miR-301a-3p,0,7,0,0,2,0,131
hsa-miR-301a-5p,0,0,0,0,1,0,5
hsa-miR-301b,0,1,1,0,0,0,12
hsa-miR-302d-3p,0,11,2,4,3,0,15
hsa-miR-3065-3p,0,0,1,0,0,0,15
hsa-miR-3065-5p,0,4,0,0,3,0,116
hsa-miR-3074-5p,6,49,5,5,16,6,980
hsa-miR-30a-3p,0,0,0,0,1,1,3
hsa-miR-30a-5p,6,6,1,0,2,0,30
hsa-miR-30b-3p,0,0,0,0,0,0,1
hsa-miR-30b-5p,10,14,3,0,4,0,854
hsa-miR-30c-1-3p,0,1,0,0,0,0,1
hsa-miR-30c-2-3p,0,1,0,0,0,1,1
hsa-miR-30c-5p,11,371,125,216,147,83,390
hsa-miR-30d-5p,27,30,19,9,18,1,377
hsa-miR-30e-3p,0,0,1,0,0,0,14
